heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
wisp,11.0,303,488,4396,10713,1455,1185,6,1
bristleback,7.5,704,892,26529,15737,1711,1567,1,1
tidehunter,9.5,537,718,11488,17152,4334,2143,0,0
shadow_demon,5.0,395,424,14427,10330,363,443,5,2
leshrac,15.0,765,842,39004,28226,5325,1529,0,0
medusa,1.4,541,576,18283,4061,358,6847,0,0
shredder,2.4,451,460,20605,26401,40,3573,1,0
enigma,1.0,313,307,14650,19002,668,2917,0,0
tiny,1.0,281,339,10983,26496,0,3149,2,0
pugna,0.9,275,298,17637,19884,50,4044,10,4
clinkz,13.5,485,643,13246,14012,8027,1128,9,2
pangolier,33.0,689,850,30296,15064,5144,2208,0,0
venomancer,10.67,487,700,15371,7440,2077,332,8,7
windrunner,5.75,719,847,16748,17770,8528,2723,0,1
spirit_breaker,11.67,621,851,17641,19697,2153,3415,1,0
void_spirit,0.89,443,469,14223,26334,1006,3514,2,3
medusa,2.0,773,746,33294,4092,2110,7617,0,1
batrider,0.92,324,366,11029,19997,0,9285,3,2
enchantress,0.75,246,278,6366,22001,158,3563,14,4
magnataur,1.0,376,432,9071,20878,863,4462,0,2
venomancer,5.5,418,415,19502,11303,1320,4700,4,2
spirit_breaker,19.0,522,595,11939,14115,890,2441,0,0
medusa,15.0,757,666,18837,1542,8109,2323,0,1
techies,21.0,305,413,12048,6212,1226,2286,6,4
void_spirit,21.0,550,624,20249,14269,2798,4862,1,0
keeper_of_the_light,0.78,233,279,8601,14515,0,5351,3,1
pangolier,0.86,451,436,14831,18221,0,3655,1,0
juggernaut,0.83,464,536,6009,16928,0,4502,0,0
underlord,0.43,310,369,9090,23794,0,14147,0,0
skywrath_mage,1.2,205,271,8910,9117,0,158,8,3
rattletrap,0.45,229,286,10784,23958,0,302,6,0
medusa,0.4,535,543,14659,7034,1433,1727,0,1
beastmaster,0.78,430,561,18622,30813,859,1777,0,0
pugna,0.75,244,283,14864,17466,340,1301,11,4
tusk,0.78,375,397,10349,29836,122,2262,1,0
clinkz,7.25,578,585,27307,17875,18308,191,0,1
techies,14.0,481,589,17012,11800,2649,1107,4,3
spirit_breaker,31.0,545,804,16469,15835,1977,1220,0,0
pangolier,30.0,668,918,36023,15096,2254,1551,2,1
shadow_demon,25.0,437,501,12296,8672,157,639,11,2
lich,3.6,313,470,12683,10824,38,692,5,2
juggernaut,6.5,654,733,12404,12648,1591,1278,1,1
pangolier,20.0,582,581,22302,14802,63,1863,2,0
dark_willow,1.83,289,384,10734,11755,27,1181,6,2
doom_bringer,2.0,582,599,7229,14603,128,1536,0,0
medusa,3.0,670,661,10974,1720,1856,2672,0,0
ember_spirit,13.0,588,664,19582,11522,1030,3242,1,0
primal_beast,1.43,398,426,11407,19553,104,6761,0,0
enchantress,1.75,285,399,15514,12549,861,3122,4,1
undying,0.78,291,273,7155,20008,54,5715,9,5
slark,12.0,645,714,9339,6326,391,1524,1,0
rubick,3.0,278,325,5591,3951,0,860,3,2
pangolier,12.0,542,581,10650,6046,752,1394,2,0
shadow_demon,2.5,289,330,3538,6633,140,607,3,1
medusa,6.0,698,879,9177,41,790,628,0,0
antimage,0.25,324,293,749,6200,0,308,0,0
ember_spirit,2.0,478,470,9725,8529,702,1915,1,0
shredder,0.5,424,483,4977,12920,0,837,0,0
keeper_of_the_light,2.5,205,237,4059,4285,111,567,5,0
elder_titan,1.0,161,234,3487,6361,0,820,3,4
nevermore,1.7,564,676,23908,29151,108,4354,0,0
nyx_assassin,5.6,442,810,28951,20930,0,5344,4,1
disruptor,1.33,311,409,10719,30979,35,3731,8,2
void_spirit,1.86,541,663,23167,21855,1444,3512,3,0
batrider,2.86,620,758,26477,35367,429,5847,0,0
warlock,3.2,384,497,22876,23036,6012,381,9,2
medusa,8.0,698,829,30829,7515,5268,9934,1,0
mirana,4.0,491,706,25481,23678,3816,5242,3,3
legion_commander,3.11,505,706,31351,35665,4146,8009,0,0
rattletrap,3.64,434,517,27745,23328,1178,4334,2,1
enchantress,1.22,253,337,11514,14769,800,1059,13,4
pangolier,1.25,440,518,12183,18524,34,1878,1,0
bloodseeker,0.67,418,492,7887,19863,33,2080,0,1
techies,0.71,268,271,15713,18770,24,1474,1,0
faceless_void,1.33,563,574,9046,22975,212,1633,0,0
lion,3.29,383,617,10364,11674,322,2280,4,2
shredder,8.5,620,725,20178,19236,1215,3598,0,0
storm_spirit,16.5,554,834,26575,11829,1460,837,2,1
medusa,26.0,850,852,25868,548,14034,6077,0,0
mirana,8.25,371,546,11894,13056,730,992,8,4
undying,1.36,252,424,8911,29952,0,1418,6,1
mars,1.3,384,400,16538,31453,0,2308,0,0
medusa,7.5,803,777,50776,4177,2318,2250,0,1
snapfire,1.5,345,405,13375,21007,0,778,6,3
batrider,3.5,502,629,23487,29349,26,427,3,1
juggernaut,30.0,830,984,32084,30552,13548,5182,0,1
techies,4.4,386,525,17399,18983,1880,4228,4,0
pugna,3.33,404,535,20723,16429,3076,2188,8,3
void_spirit,8.67,628,719,24344,28307,6226,13006,3,0
dark_seer,8.67,557,613,21388,18816,780,3883,0,0
spirit_breaker,1.7,323,408,11410,22806,0,1329,8,3
ember_spirit,2.43,512,626,36464,27928,385,3262,1,1
skywrath_mage,2.67,263,453,22966,12772,0,694,10,4
doom_bringer,2.67,596,572,24026,32232,0,3188,0,1
medusa,3.4,721,837,31736,4971,1230,2555,0,1
morphling,21.0,808,827,37439,25475,27322,6474,0,0
shredder,6.33,655,839,29278,26023,1812,8849,2,0
shadow_demon,4.2,337,486,7518,12745,3301,2232,10,5
primal_beast,4.2,472,566,16142,44231,4392,12514,0,0
lion,3.14,346,492,10332,18128,24,3851,8,2
medusa,13.0,834,659,17942,623,18041,6871,0,1
ember_spirit,11.0,570,663,21447,11005,3693,11216,2,0
venomancer,1.83,332,427,17885,7847,1705,897,4,4
techies,4.33,335,374,12462,5778,278,3852,7,3
ogre_magi,2.0,584,547,11980,10591,1031,3491,0,0
juggernaut,3.5,570,674,6977,14663,4233,7333,0,0
queenofpain,9.0,432,455,10794,16421,865,4596,1,1
batrider,1.57,266,363,5562,19110,185,12785,2,1
shredder,2.5,470,466,6225,20900,156,18415,0,0
lich,2.0,254,314,6286,10622,0,5633,10,2
windrunner,27.0,646,701,27509,9139,1145,4987,1,1
vengefulspirit,4.17,324,513,9930,8311,1608,3935,3,1
undying,22.0,319,432,6908,4602,91,4800,9,6
doom_bringer,8.0,813,783,11250,9692,978,3770,0,0
medusa,11.0,768,755,16290,28,10257,4739,0,2
alchemist,0.83,459,379,6647,16715,0,1688,0,0
void_spirit,0.29,318,344,5447,16432,0,2513,2,0
batrider,0.2,342,380,5429,17509,29,1278,0,0
mirana,1.0,219,233,6334,9055,0,654,3,0
crystal_maiden,0.64,220,250,7915,12176,0,627,6,3
legion_commander,2.36,533,660,49541,51032,3903,7571,0,0
skywrath_mage,3.22,354,545,25342,22445,927,3809,4,4
techies,3.33,426,620,33105,25085,2474,2662,21,6
medusa,15.5,1000,854,72093,2255,18816,8913,0,0
void_spirit,4.83,571,734,32245,41323,1330,5256,2,0
abaddon,6.4,727,707,49762,49838,9771,11412,0,0
puck,5.4,651,718,40014,38521,2223,5512,2,0
disruptor,1.77,278,433,8435,35557,76,5706,18,8
rattletrap,2.0,316,427,15438,40719,0,11255,7,4
shredder,3.75,532,622,28491,47691,836,13598,0,0
doom_bringer,4.0,497,628,9060,16984,1008,2077,2,0
skywrath_mage,11.0,332,651,8830,6809,670,709,10,7
batrider,26.0,698,868,17104,11556,635,1943,3,0
dark_seer,11.0,521,650,10109,15353,2950,2304,0,0
templar_assassin,26.0,877,963,34942,9080,17298,2556,0,0
medusa,1.6,614,627,21249,3377,752,7805,0,0
ember_spirit,0.67,407,526,10910,15566,254,11125,2,0
tidehunter,0.29,362,448,6053,28234,808,4374,0,0
techies,1.33,251,252,13194,13783,0,8697,4,2
enchantress,0.89,220,231,8376,17482,2555,6601,7,3
storm_spirit,3.0,482,698,26136,20382,155,2633,1,0
ursa,1.75,533,589,16705,21829,631,4861,0,1
medusa,0.56,396,439,16710,8853,1145,6323,0,2
silencer,1.0,217,372,12809,14251,147,1844,11,3
techies,0.6,266,338,23800,16948,298,4427,8,2
doom_bringer,11.5,813,842,23058,16527,700,10693,2,1
void_spirit,28.0,637,785,25065,25771,7974,11579,1,2
slark,27.0,661,798,16838,26078,15083,5048,0,2
phoenix,7.33,369,539,9736,12412,518,5154,5,4
lich,5.5,361,536,7566,15113,197,6385,12,6
undying,1.13,305,349,13265,32344,0,5463,15,6
medusa,1.88,683,593,38208,7606,1321,11987,0,0
riki,1.89,436,716,17544,28488,435,5902,2,6
techies,1.15,301,332,23879,27963,272,4830,1,5
pudge,1.5,436,598,14115,30904,0,9230,1,0
storm_spirit,5.5,558,602,32875,21503,3451,12158,2,1
terrorblade,6.4,873,790,35492,37249,19832,15552,0,0
doom_bringer,8.25,672,695,15305,26179,2002,12107,0,1
pugna,6.5,351,577,26509,10782,5571,2097,11,6
disruptor,45.0,393,657,17124,11298,842,2419,7,4
underlord,0.38,376,399,8537,28045,578,3163,0,0
storm_spirit,1.0,402,447,10769,18273,344,2956,0,0
rubick,0.83,259,279,11575,14856,0,1996,5,2
skywrath_mage,1.75,219,290,9197,11251,178,1305,9,4
naga_siren,1.33,651,432,11496,22401,1497,1951,0,1
medusa,16.0,761,637,24645,212,22517,6976,0,1
puck,21.0,557,550,26193,9332,2379,3046,1,3
dark_seer,10.5,516,554,16822,15736,1764,5613,0,0
spirit_breaker,5.33,318,447,13096,16312,496,6686,6,4
pugna,6.0,382,410,14070,9982,4792,2534,8,2
medusa,2.33,621,669,34417,2578,681,11189,0,1
snapfire,1.1,437,490,17052,32954,338,13283,2,0
shredder,0.62,465,510,29624,35185,0,14856,0,1
mirana,1.1,245,338,10591,21910,27,7499,3,1
elder_titan,0.54,202,303,15277,31013,0,12004,16,8
slark,32.0,739,816,31624,33199,10903,4817,0,1
batrider,9.67,387,663,13760,14962,152,3017,10,6
underlord,32.0,686,804,16868,21832,12991,5247,0,0
skywrath_mage,6.0,364,675,19477,14652,984,2981,8,3
rubick,9.0,582,699,41911,22316,1071,2607,2,0
medusa,17.0,666,615,7349,11,152,750,0,0
queenofpain,12.0,591,573,10867,3629,824,3646,2,0
doom_bringer,5.5,549,538,9973,5309,56,9266,0,0
disruptor,6.33,306,293,7308,5313,0,5968,2,0
alchemist,20.0,350,355,9173,4057,0,931,1,1
venomancer,0.29,175,181,6224,7816,0,5498,0,0
dark_seer,0.11,248,241,3453,9865,0,1575,0,0
spirit_breaker,0.67,167,163,3028,9040,0,2467,4,0
sven,1.5,436,439,2160,7401,0,2834,1,0
magnataur,0.6,376,370,3454,10548,45,5551,2,0
void_spirit,3.67,587,602,19829,21074,1518,11779,2,1
bloodseeker,2.8,614,692,11241,18063,960,9172,0,0
oracle,2.25,302,382,6072,14661,0,5602,6,2
bounty_hunter,2.33,334,386,10131,19057,0,13654,3,2
legion_commander,1.0,348,406,7513,20120,0,6262,0,1
visage,2.14,473,455,16727,13270,5246,5363,0,0
medusa,12.0,867,898,28884,1655,17240,3622,0,0
venomancer,2.44,354,328,13253,12729,584,6287,9,3
spirit_breaker,3.67,404,497,13586,13835,109,4659,1,2
winter_wyvern,6.0,518,530,20525,13297,1771,1456,2,0
huskar,9.33,700,793,34766,40289,18220,9536,2,0
monkey_king,4.5,590,712,18377,20335,3521,5398,1,0
batrider,15.0,649,871,34592,21070,50,1143,1,2
enchantress,5.2,412,602,9619,16111,3005,2157,9,2
spirit_breaker,5.0,396,597,12193,24481,1162,2231,4,4
underlord,1.62,370,427,20950,29919,714,7704,1,0
rattletrap,1.0,242,326,16998,30388,0,5785,11,5
medusa,2.5,677,814,30920,2563,373,11997,0,0
techies,1.55,309,402,25135,23154,204,5816,4,1
ember_spirit,2.14,410,468,28406,23523,269,6921,1,0
queenofpain,11.0,606,771,23948,23578,3015,1171,1,1
faceless_void,10.5,551,673,8369,24906,4215,1433,1,1
shredder,26.0,593,765,26063,22595,1436,1513,0,2
crystal_maiden,2.38,262,552,12837,20551,540,1421,11,4
phoenix,25.0,456,658,11387,9965,597,811,7,2
medusa,4.0,638,660,32816,3696,2199,8782,0,2
pangolier,2.8,519,625,20215,21909,716,14388,0,0
spirit_breaker,2.0,444,540,15227,18560,203,4550,0,0
enchantress,0.56,282,298,11169,21856,3379,7387,5,3
shadow_demon,1.14,261,319,22168,16583,130,3940,15,4
keeper_of_the_light,3.33,315,447,25269,17644,0,4473,1,4
shredder,2.29,590,737,51397,67592,1819,18895,1,1
crystal_maiden,1.15,265,423,17496,28968,45,6901,25,5
medusa,3.4,799,787,42211,8401,3141,14299,0,4
primal_beast,1.1,421,578,12619,49504,0,15751,0,1
bloodseeker,6.5,754,816,45074,29665,18430,6017,0,2
pangolier,6.75,744,756,31455,36704,4024,5478,3,3
dark_seer,8.25,675,666,60436,39331,3679,10120,0,4
lich,7.5,418,599,16878,24132,1659,4773,18,9
rubick,4.6,438,588,18266,19160,998,5502,6,0
undying,2.71,341,443,5151,14275,93,7421,9,3
riki,2.29,480,611,16208,17813,1351,8930,3,3
tusk,2.71,290,361,12375,19536,667,11089,5,2
dark_seer,5.75,526,547,24012,18298,1360,5699,0,1
medusa,17.0,946,941,43174,1401,26439,10163,0,1
morphling,8.5,690,754,20595,21054,1082,8939,0,1
puck,9.0,523,661,22931,11721,264,7276,2,2
magnataur,1.0,335,355,4736,28146,334,4119,0,0
silencer,2.0,286,322,11905,18414,0,3344,14,7
spirit_breaker,2.71,340,410,11156,21585,22,4630,1,0
juggernaut,2.0,580,626,3503,6038,3012,1038,0,0
void_spirit,1.33,438,428,8171,8440,2243,1833,2,0
disruptor,0.71,215,207,5426,9748,0,1202,8,3
magnataur,0.4,406,417,2823,16241,1947,7204,0,1
undying,0.75,268,303,5113,11556,189,6026,1,1
techies,3.0,377,401,9785,5451,2546,389,3,0
shredder,14.0,580,600,15618,6186,2329,1358,2,2
doom_bringer,9.0,671,577,8608,5813,2287,1064,0,0
terrorblade,7.0,662,561,9187,2555,17278,695,0,0
lich,6.0,310,378,8825,5031,686,653,6,5
terrorblade,24.0,929,887,42425,22738,18522,7324,0,1
dark_seer,2.71,572,640,22516,25652,1085,3709,0,0
batrider,3.0,658,891,22126,19246,0,5025,2,0
earth_spirit,4.8,349,480,10133,15689,647,2472,5,0
venomancer,3.67,399,488,21082,13396,1498,1281,8,3
leshrac,3.6,584,532,35851,29195,1065,17425,2,0
rubick,2.17,367,461,13564,16887,0,9787,7,2
faceless_void,3.2,572,646,27025,31976,623,10226,0,0
